,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
5850,Gulf Oil Corporation,4.3,543,0,15,Oil & Gas,201.0,63,Hyderabad,"['Work Life Balance', ' Company Culture', ' Job Security']",['nan']
5851,Prasol Chemicals,3.2,1000,17,13,Chemicals,51.0,32,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
5852,Jayem Automotives,3.7,729,0,14,Auto Components,501.0,33,Chennai,['nan'],"['Company Culture', ' Promotions / Appraisal', ' Salary & Benefits']"
5853,First Data,4.1,1000,0,16,,10.0,,Atlanta,"['Work Life Balance', ' Company Culture', ' Salary & Benefits']",['nan']
5854,Rural Electrification Corporation,4.2,557,0,12,Power,501.0,55,New delhi,"['Work Life Balance', ' Company Culture', ' Work Satisfaction']",['Promotions / Appraisal']
5855,Aranca,3.8,1100,93,23,Analytics & KPO,501.0,21,Mumbai,['Company Culture'],"['Promotions / Appraisal', ' Salary & Benefits']"
5856,Facebook,4.4,1400,0,22,Internet,1.0,20,Menlo park,"['Salary & Benefits', ' Company Culture', ' Work Life Balance']",['nan']
5857,The Cosmos Co-operative Bank,3.6,829,0,15,Banking,1.0,118,Pune,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
5858,Tecnotree Convergence,3.1,1300,42,21,Telecom,201.0,46,Espoo,['nan'],"['Promotions / Appraisal', ' Company Culture', ' Salary & Benefits']"
5859,Overseas Health Care,2.8,386,0,13,Pharma,501.0,30,Jalandhar,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
5860,Axa Parenterals,4.0,646,3,17,Pharma,201.0,19,Roorkee,"['Job Security', ' Work Satisfaction', ' Skill Development / Learning']","['Promotions / Appraisal', ' Salary & Benefits']"
5861,Layam Flexi Solutions,3.7,549,0,15,Recruitment,1.0,17,Chennai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5862,DB Engineering & Consulting,4.4,623,2,13,Railways,201.0,58,Berlin,"['Work Life Balance', ' Company Culture', ' Job Security']",['nan']
5863,Tata Ficosa Automotive Systems,3.9,679,0,19,Auto Components,201.0,26,Pune,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['nan']
5864,RLabs Enterprise Services,3.7,1300,13,15,Recruitment,1.0,11,Hyderabad/secunderabad,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Job Security']"
5865,Brick&Bolt,4.1,542,82,4,Engineering & Construction,51.0,7,Bengaluru,"['Salary & Benefits', ' Company Culture', ' Promotions / Appraisal']",['nan']
5866,EICHER TRUCKS AND BUSES,4.3,504,0,29,Automobile,1.0,16,New delhi,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['nan']
5867,Arvind Techno Engineers,3.8,560,0,7,Engineering & Construction,51.0,46,New delhi,['Job Security'],['Company Culture']
5868,River Engineering,4.0,783,0,18,Industrial Machinery,51.0,17,Greater,"['Work Life Balance', ' Job Security']","['Promotions / Appraisal', ' Salary & Benefits']"
5869,Meghmani Finechem,4.1,960,0,19,Chemicals,501.0,17,Ahmedabad,"['Job Security', ' Work Life Balance', ' Work Satisfaction']",['Salary & Benefits']
5870,Apps Associates,3.7,1500,12,19,IT Services & Consulting,501.0,22,Acton,"['Work Life Balance', ' Company Culture', ' Skill Development / Learning']",['nan']
5871,Prudent Corporate Advisory Services,4.2,546,9,10,Investment Banking / Venture Capital / Private Equity,501.0,24,Ahmedabad,"['Job Security', ' Work Life Balance', ' Company Culture']",['Promotions / Appraisal']
5872,Modern Business Solutions,3.8,443,0,10,Recruitment,5.0,20,Ahmedabad,"['Company Culture', ' Work Satisfaction']","['Promotions / Appraisal', ' Salary & Benefits']"
5873,Aranca,3.8,1100,93,23,Analytics & KPO,501.0,21,Mumbai,['Company Culture'],"['Promotions / Appraisal', ' Salary & Benefits']"
5874,BlazeClan Technologies,3.8,1500,16,17,IT Services & Consulting,501.0,14,Pune,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']",['nan']
5875,NTC Logistics India,4.0,832,3,16,Logistics,501.0,27,Chennai,"['Work Life Balance', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
5876,Minda Stoneridge Instruments,3.5,947,0,6,Auto Components,1.0,29,New delhi,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Company Culture']"
5877,FEV,3.3,1100,5,18,Auto Components,201.0,46,Aachen,['nan'],"['Company Culture', ' Work Satisfaction', ' Promotions / Appraisal']"
5878,ValueFirst Digital Media,3.8,984,11,22,Software Product,501.0,21,Gurgaon,['Work Life Balance'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Salary & Benefits']"
5879,ASSA ABLOY,3.5,671,1,13,Real Estate,51.0,19,Stockholm,['Work Life Balance'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Work Satisfaction']"
5880,Jayem Automotives,3.7,729,0,14,Auto Components,501.0,33,Chennai,['nan'],"['Company Culture', ' Promotions / Appraisal', ' Salary & Benefits']"
5881,Prasol Chemicals,3.2,1000,17,13,Chemicals,51.0,32,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
5882,First Data,4.1,1000,0,16,,10.0,,Atlanta,"['Work Life Balance', ' Company Culture', ' Salary & Benefits']",['nan']
5883,Gulf Oil Corporation,4.3,543,0,15,Oil & Gas,201.0,63,Hyderabad,"['Work Life Balance', ' Company Culture', ' Job Security']",['nan']
5884,Brick&Bolt,4.1,542,82,4,Engineering & Construction,51.0,7,Bengaluru,"['Salary & Benefits', ' Company Culture', ' Promotions / Appraisal']",['nan']
5885,RLabs Enterprise Services,3.7,1300,13,15,Recruitment,1.0,11,Hyderabad/secunderabad,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Job Security']"
5886,BUDDI.AI,4.1,378,10,30,Software Product,201.0,11,New delhi,"['Skill Development / Learning', ' Job Security', ' Work Life Balance']",['nan']
5887,Geeklurn,3.8,125,0,4,EdTech,51.0,,Bengaluru,"['Salary & Benefits', ' Company Culture', ' Work Satisfaction']",['nan']
5888,Slice,3.3,1000,40,5,Financial Services,1.0,9,New york city,['nan'],"['Promotions / Appraisal', ' Job Security', ' Skill Development / Learning']"
5889,Jamboree Education,3.8,667,15,14,EdTech,201.0,31,New delhi,['Job Security'],"['Promotions / Appraisal', ' Work Life Balance']"
5890,Go Fashion,4.0,693,2,19,Fashion & Textile,51.0,,Chennai,"['Job Security', ' Company Culture', ' Work Satisfaction']",['nan']
5891,Ujaas Energy,3.7,472,0,9,Power,201.0,45,Nashik,['Work Life Balance'],"['Promotions / Appraisal', ' Salary & Benefits']"
5892,Milan Laboratories India Private Limited,4.0,778,6,16,Pharma,201.0,48,Dahej,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
5893,Euronet Worldwide,3.7,973,0,17,FinTech,501.0,30,Thane,['Job Security'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Work Satisfaction']"
5894,C3I Solutions,3.9,692,0,24,BPO,201.0,44,Hyderabad/secunderabad,"['Job Security', ' Work Life Balance', ' Work Satisfaction']",['Promotions / Appraisal']
5895,Tcil,4.1,389,0,5,Telecom,1.0,46,New delhi,"['Skill Development / Learning', ' Work Life Balance', ' Company Culture']",['nan']
5896,Satyesh Brinechem,3.3,757,15,17,Chemicals,51.0,10,Ahmedabad,['nan'],"['Job Security', ' Work Life Balance', ' Promotions / Appraisal']"
5897,Godrej Tyson Food,4.3,598,0,14,Food Processing,201.0,16,Mumbai,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']",['Promotions / Appraisal']
5898,Montage Enterprises,3.9,566,0,14,Packaging,201.0,22,Noida,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
5899,Aczet,3.6,548,1,49,Electronics Manufacturing,51.0,38,Mumbai,['nan'],['nan']
5900,Lynk,3.3,994,19,8,Logistics,51.0,9,Chennai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
5901,Osam Dairy,3.9,392,1,1,Agriculture,201.0,14,Ranchi,['Work Life Balance'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5902,Shakambhari Ispat & Power,3.7,734,1,8,Power,1.0,23,Kolkata,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Company Culture']"
5903,Fangs Technology,4.1,600,0,19,Consumer Electronics & Appliances,1.0,10,Chennai,"['Skill Development / Learning', ' Company Culture', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
5904,Frontizo Business Services,3.2,520,10,9,BPO,51.0,12,Panchkula,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Company Culture']"
5905,Rexel,3.9,787,4,18,Industrial Automation,201.0,10,Nashik,"['Work Life Balance', ' Company Culture', ' Job Security']",['Promotions / Appraisal']
5906,Barco Electronic Systems,4.2,959,3,12,Consumer Electronics & Appliances,501.0,90,Noida,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['Promotions / Appraisal']
5907,Ajax Engineering,4.0,866,0,12,Engineering & Construction,51.0,32,Bengaluru,['Work Life Balance'],['Promotions / Appraisal']
5908,Orchid Hotel,4.1,642,2,21,Hospitality,51.0,51,Mumbai,"['Skill Development / Learning', ' Work Life Balance']",['nan']
5909,Accentuate Technology,4.3,676,0,30,IT Services & Consulting,1.0,,Bengaluru,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
5910,Osam Dairy,3.9,392,1,1,Agriculture,201.0,14,Ranchi,['Work Life Balance'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5911,Frontizo Business Services,3.2,520,10,9,BPO,51.0,12,Bengaluru,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Company Culture']"
5912,INDIA TODAY GROUP,3.8,1200,8,20,Media & Entertainment,1.0,49,Noida,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
5913,Barco Electronic Systems,4.2,959,3,12,Consumer Electronics & Appliances,501.0,90,Duluth,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['Promotions / Appraisal']
5914,Rexel,3.9,787,4,18,Industrial Automation,201.0,10,Pune,"['Work Life Balance', ' Company Culture', ' Job Security']",['Promotions / Appraisal']
5915,Shakambhari Ispat & Power,3.7,734,1,8,Power,1.0,23,Kolkata,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Company Culture']"
5916,Tcil,4.1,389,0,5,Telecom,1.0,46,New delhi,"['Skill Development / Learning', ' Work Life Balance', ' Company Culture']",['nan']
5917,Satyesh Brinechem,3.3,757,15,17,Chemicals,51.0,10,Ahmedabad,['nan'],"['Job Security', ' Work Life Balance', ' Promotions / Appraisal']"
5918,Qdigi Services,3.9,511,3,14,Recruitment,51.0,,Noida,"['Work Life Balance', ' Skill Development / Learning', ' Work Satisfaction']",['Promotions / Appraisal']
5919,SUGAR Cosmetics,3.7,693,29,9,Internet,201.0,12,Mumbai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5920,Videocon Industries Ltd.,3.9,1100,1,19,Consumer Electronics & Appliances,5.0,45,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
5921,Hitachi Systems,4.1,851,13,0,IT Services & Consulting,1.0,,Mumbai,"['Work Life Balance', ' Job Security', ' Company Culture']",['nan']
5922,Destek Infosolutions,3.9,176,0,46,IT Services & Consulting,51.0,8,Pune,"['Company Culture', ' Skill Development / Learning']",['nan']
5923,Accentuate Technology,4.3,676,0,30,IT Services & Consulting,1.0,,Bengaluru,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
5924,Bewakoof,3.7,821,40,23,Fashion & Textile,201.0,13,Mumbai,"['Skill Development / Learning', ' Work Life Balance']","['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5925,Godrej Tyson Food,4.3,598,0,14,Food Processing,201.0,16,Mumbai,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']",['Promotions / Appraisal']
5926,Ncr Eduservices,3.4,481,24,17,Education & Training,201.0,12,Noida,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5927,Montage Enterprises,3.9,566,0,14,Packaging,201.0,22,Mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
5928,ONKAR DIES,4.0,666,1,17,Engineering & Construction,201.0,26,Pune,['Skill Development / Learning'],['nan']
5929,Aczet,3.6,548,1,49,Electronics Manufacturing,51.0,38,Dubai,['nan'],['nan']
5930,WorkIndia,3.1,854,37,13,IT Services & Consulting,201.0,9,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal', ' Work Satisfaction']"
5931,Qualtech Consultants,3.5,763,2,11,IT Services & Consulting,201.0,21,Noida,['nan'],"['Work Life Balance', ' Company Culture', ' Work Satisfaction']"
5932,Polaris,3.7,1100,0,12,Automobile,201.0,13,Medina,"['Work Life Balance', ' Salary & Benefits', ' Company Culture']",['Skill Development / Learning']
5933,Nippo Batteries,4.3,549,0,16,Auto Components,1.0,52,Chennai,"['Job Security', ' Salary & Benefits', ' Work Life Balance']",['nan']
5934,Architect Hafeez Contractor,4.0,423,0,9,Architecture & Interior Design,201.0,42,Mumbai,"['Job Security', ' Skill Development / Learning']","['Work Life Balance', ' Salary & Benefits', ' Promotions / Appraisal']"
5935,Exicom Tele Systems,3.6,645,0,20,,,,Gurgaon/gurugram,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']"
5936,Ajax Engineering,4.0,866,0,12,Engineering & Construction,51.0,32,Bengaluru,['Work Life Balance'],['Promotions / Appraisal']
5937,The Chennai Silks,3.5,834,1,12,Fashion & Textile,201.0,60,Tirupur/tiruppur,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Work Satisfaction']"
5938,EagleView,3.4,721,33,19,IT Services & Consulting,201.0,16,Bellevue,['nan'],"['Promotions / Appraisal', ' Job Security', ' Skill Development / Learning']"
5939,Welspun Transformation Services Limited,4.2,245,0,9,IT Services & Consulting,5.0,,Vapi,"['Skill Development / Learning', ' Company Culture', ' Salary & Benefits']",['nan']
5940,Housr,4.5,184,14,9,Hospitality,51.0,6,Gurgaon,"['Salary & Benefits', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
5941,Taggd,4.0,264,356,4,Recruitment,501.0,19,Gurgaon,"['Skill Development / Learning', ' Salary & Benefits', ' Company Culture']",['nan']
5942,Global Cloud Xchange,3.4,1100,0,13,Telecom,501.0,36,Hamilton,['Work Life Balance'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5943,Edwise International,4.2,420,79,5,Education & Training,201.0,33,Mumbai,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']",['nan']
5944,Arch Pharmalabs,3.5,694,0,14,Pharma,201.0,25,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
5945,HMT Machine Tools,3.6,623,0,25,Industrial Machinery,51.0,71,Bengaluru,['Skill Development / Learning'],"['Salary & Benefits', ' Promotions / Appraisal', ' Company Culture']"
5946,DMI,3.7,1200,6,7,IT Services & Consulting,201.0,22,Bethesda,['Work Life Balance'],"['Job Security', ' Promotions / Appraisal']"
5947,Metro Tyres,3.6,681,1,10,Auto Components,201.0,56,New delhi,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Work Satisfaction']"
5948,Unify Technologies,3.4,1000,70,19,IT Services & Consulting,201.0,9,Bellevue,['nan'],"['Job Security', ' Company Culture', ' Skill Development / Learning']"
5949,Ludhiana Beverages,3.8,661,0,17,Beverage,51.0,30,Ludhiana,['nan'],['Promotions / Appraisal']
5950,Ind Innovations,3.6,714,0,12,IT Services & Consulting,11.0,10,New delhi,['nan'],"['Promotions / Appraisal', ' Company Culture', ' Salary & Benefits']"
5951,Birla Shakti Cement,4.0,399,0,5,Engineering & Construction,,,Hyderabad/secunderabad,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
5952,Interglobe Air Transport,3.5,787,0,16,Aviation,51.0,35,Gurgaon,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Work Satisfaction']"
5953,Marque Impex,4.0,597,0,14,Import & Export,1.0,28,Moradabad,"['Work Life Balance', ' Company Culture', ' Job Security']",['Promotions / Appraisal']
5954,SP Apparels,4.2,654,0,11,Fashion & Textile,1.0,18,Coimbatore,['Work Life Balance'],['Promotions / Appraisal']
5955,NIMS University,2.9,609,0,10,Education & Training,501.0,16,Jaipur,['nan'],"['Job Security', ' Promotions / Appraisal', ' Salary & Benefits']"
5956,AL JABER GROUP,4.2,268,0,18,Engineering & Construction,1.0,54,Abu,"['Work Life Balance', ' Work Satisfaction', ' Skill Development / Learning']",['nan']
5957,John Crane Sealing Systems India,3.6,848,8,17,Industrial Machinery,501.0,12,Chicago,"['Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits', ' Skill Development / Learning']"
5958,Lilavati Hospital & Research Centre,4.2,505,0,15,Healthcare,1.0,27,Mumbai,"['Skill Development / Learning', ' Work Satisfaction', ' Work Life Balance']",['nan']
5959,FAIRWAY ENTERPRISES,3.8,706,0,14,Leather,51.0,,Pochampalli,['Salary & Benefits'],['Work Satisfaction']
5960,Coherent Market Insights,4.2,286,0,32,Management Consulting,201.0,8,Burlingame,"['Company Culture', ' Job Security', ' Skill Development / Learning']",['nan']
5961,Six Sigma Soft Solutions,3.0,1100,0,6,IT Services & Consulting,1.0,24,Chennai,['nan'],"['Promotions / Appraisal', ' Company Culture', ' Salary & Benefits']"
5962,Panda Retail Company,4.5,191,0,24,Retail,1.0,46,Jeddah,"['Work Life Balance', ' Company Culture', ' Job Security']",['Promotions / Appraisal']
5963,Fortis Memorial Research Institute,3.6,540,0,11,Clinical Research,,11,Gurgaon,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Salary & Benefits']"
5964,Marolix Technology Solutions,3.8,817,1,8,IT Services & Consulting,,13,Hyderabad,['Skill Development / Learning'],['nan']
5965,SEG Automotive,3.5,933,0,17,Auto Components,201.0,6,Stuttgart,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']"
5966,Proziod Analytics,4.0,377,4,23,IT Services & Consulting,51.0,8,Bengaluru,"['Work Life Balance', ' Job Security', ' Company Culture']",['nan']
5967,Volante Technologies,3.2,1200,0,20,FinTech,201.0,,New york,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Job Security']"
5968,Global Cloud Xchange,3.4,1100,0,13,Telecom,501.0,36,Hamilton,['Work Life Balance'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
5969,Forbes Technosys,3.7,656,0,10,IT Services & Consulting,201.0,31,Thane,['nan'],"['Job Security', ' Promotions / Appraisal', ' Salary & Benefits']"
5970,Frost & Sullivan,3.6,1200,9,11,Management Consulting,501.0,63,San,['Work Life Balance'],"['Promotions / Appraisal', ' Salary & Benefits', ' Skill Development / Learning']"
5971,Arch Pharmalabs,3.5,694,0,14,Pharma,201.0,25,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
5972,HMT Machine Tools,3.6,623,0,25,Industrial Machinery,51.0,71,Bengaluru,['Skill Development / Learning'],"['Salary & Benefits', ' Promotions / Appraisal', ' Company Culture']"
5973,Philip Morris International,3.7,552,0,18,FMCG,51.0,37,New york,"['Company Culture', ' Work Life Balance']","['Promotions / Appraisal', ' Skill Development / Learning', ' Job Security']"
5974,Intense Technologies,4.1,1200,20,18,IT Services & Consulting,501.0,34,Hyderabad/secunderabad,"['Job Security', ' Company Culture', ' Skill Development / Learning']",['nan']
5975,Nirmal Bang,3.7,966,2,7,Financial Services,1.0,38,Kolkata,['nan'],['Salary & Benefits']
5976,DMI,3.7,1200,6,7,IT Services & Consulting,201.0,22,Bethesda,['Work Life Balance'],"['Job Security', ' Promotions / Appraisal']"
5977,iB Hubs,4.2,259,0,74,IT Services & Consulting,501.0,8,Gurgaon,"['Skill Development / Learning', ' Promotions / Appraisal', ' Company Culture']",['nan']
5978,Metro Tyres,3.6,681,1,10,Auto Components,201.0,56,New delhi,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Work Satisfaction']"
5979,Ludhiana Beverages,3.8,661,0,17,Beverage,51.0,30,Ludhiana,['nan'],['Promotions / Appraisal']
5980,CETPA InfoTech,4.0,680,24,28,IT Services & Consulting,501.0,22,Noida,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
5981,Edwise International,4.2,420,79,5,Education & Training,201.0,33,Mumbai,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']",['nan']
5982,Amnet Systems,4.0,787,0,11,IT Services & Consulting,501.0,24,Chennai,"['Work Life Balance', ' Job Security']",['Promotions / Appraisal']
5983,Aditi Consulting,3.7,663,11,15,IT Services & Consulting,501.0,13,Bellevue,['Salary & Benefits'],"['Job Security', ' Promotions / Appraisal']"
5984,Annet Technologies,4.0,849,2,14,Software Product,201.0,26,Dallas,"['Job Security', ' Work Life Balance', ' Company Culture']",['Salary & Benefits']
5985,AGIO Pharmaceuticals,2.3,691,29,6,Pharma,201.0,33,Massachusetts,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Job Security']"
5986,Deep Industries,3.0,870,3,8,Oil & Gas,1.0,33,Ahmedabad,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Job Security']"
5987,Samkwang India Electronic,3.3,579,0,10,Electronics Manufacturing,201.0,,Greater noida,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
5988,Egniol Services,4.0,148,0,1,,,6,Ahmedabad,"['Work Life Balance', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
5989,Risebird Talent Solutions,4.5,51,1,10,Recruitment,51.0,,Noida,"['Skill Development / Learning', ' Salary & Benefits', ' Company Culture']",['nan']
5990,PhableCare,2.7,761,28,4,Internet,51.0,7,Bengaluru,['nan'],"['Job Security', ' Work Satisfaction', ' Promotions / Appraisal']"
5991,NNIIT,4.7,49,0,9,EdTech,201.0,,Hyderabad/secunderabad,"['Company Culture', ' Job Security', ' Work Satisfaction']",['nan']
5992,QR Crypher,4.3,10,0,1,Software Product,11.0,5,Tiruchirappalli,"['Job Security', ' Work Life Balance', ' Salary & Benefits']",['nan']
5993,Venus Home Appliances,4.0,518,21,11,Consumer Electronics & Appliances,501.0,60,Thoothukudi,"['Job Security', ' Company Culture', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
5994,Exl Service Sez Bpo Solutions,3.9,556,0,21,BPO,10.0,14,New delhi,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
5995,Lester Infoservices,3.7,616,9,18,BPO,201.0,43,East,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Salary & Benefits']"
5996,SHARON BIO MEDICINE,4.1,612,0,12,Pharma,501.0,35,Mumbai,"['Job Security', ' Company Culture', ' Work Satisfaction']","['Promotions / Appraisal', ' Salary & Benefits']"
5997,Leena Powertech Engineers,3.1,556,5,6,Engineering & Construction,51.0,29,Mumbai,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Company Culture']"
5998,RAMADA PLAZA,4.0,544,0,18,Hospitality,201.0,71,New jersey,['Work Life Balance'],['Promotions / Appraisal']
5999,Synchronoss Technologies,4.2,1400,6,18,Telecom,501.0,24,Bridgewater,"['Work Life Balance', ' Company Culture', ' Salary & Benefits']",['nan']
6000,e-Solutions,3.3,794,40,9,Recruitment,11.0,21,San,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
6001,BetterPlace Safety Solutions,3.2,1000,54,16,IT Services & Consulting,201.0,9,Gronau,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Salary & Benefits']"
6002,GKB Opticals,4.2,347,0,9,Retail,51.0,56,Kolkata,"['Job Security', ' Work Satisfaction', ' Salary & Benefits']",['Promotions / Appraisal']
6003,Steril Gene Life Sciences,4.0,712,0,14,Pharma,51.0,17,Chennai,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']","['Salary & Benefits', ' Promotions / Appraisal']"
6004,Ayesa,4.1,582,0,19,IT Services & Consulting,201.0,12,Sevilla,"['Work Satisfaction', ' Salary & Benefits', ' Work Life Balance']",['nan']
6005,DesignCafe,3.4,1000,40,11,Architecture & Interior Design,501.0,8,Bengaluru,['nan'],"['Promotions / Appraisal', ' Job Security', ' Skill Development / Learning']"
6006,Pasco Automobiles,4.4,547,0,13,Automobile,11.0,39,Gurgaon/gurugram,"['Company Culture', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
6007,A&A Business Consulting,4.2,553,0,12,Management Consulting,201.0,15,Mumbai,"['Skill Development / Learning', ' Work Life Balance', ' Work Satisfaction']",['nan']
6008,BASIX Academy for Building Lifelong Employability,3.4,278,0,7,Education & Training,11.0,15,New delhi,['nan'],"['Job Security', ' Promotions / Appraisal', ' Salary & Benefits']"
6009,Savita Oil Technologies,4.3,811,7,11,Chemicals / Agri Inputs,1.0,63,Mumbai,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
6010,Sri Ranganathar Industries,3.5,783,0,8,Industrial Machinery,501.0,42,Coimbatore,['nan'],"['Company Culture', ' Promotions / Appraisal', ' Job Security']"
6011,Leena Powertech Engineers,3.1,556,5,6,Engineering & Construction,51.0,29,Mumbai,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Company Culture']"
6012,Takata,4.3,439,0,22,Auto Components,1.0,63,New delhi,"['Company Culture', ' Skill Development / Learning', ' Job Security']",['nan']
6013,Natural Remedies,3.4,614,6,13,Pharma,501.0,73,Bengaluru,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
6014,Weir Minerals,4.0,747,10,18,Metals & Mining,501.0,153,Fort,"['Job Security', ' Company Culture', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
6015,Synchronoss Technologies,4.2,1400,6,18,Telecom,501.0,24,Bridgewater,"['Work Life Balance', ' Company Culture', ' Salary & Benefits']",['nan']
6016,BetterPlace Safety Solutions,3.2,1000,54,16,IT Services & Consulting,201.0,9,Gronau,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Salary & Benefits']"
6017,BASIX Academy for Building Lifelong Employability,3.4,278,0,7,Education & Training,11.0,15,New delhi,['nan'],"['Job Security', ' Promotions / Appraisal', ' Salary & Benefits']"
6018,Pasco Automobiles,4.4,547,0,13,Automobile,11.0,39,Gurgaon/gurugram,"['Company Culture', ' Skill Development / Learning', ' Salary & Benefits']",['nan']
6019,GKB Opticals,4.2,347,0,9,Retail,51.0,56,Kolkata,"['Job Security', ' Work Satisfaction', ' Salary & Benefits']",['Promotions / Appraisal']
6020,e-Solutions,3.3,794,40,9,Recruitment,11.0,21,San,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
6021,Ebullient Securities,3.6,342,3,13,Financial Services,51.0,,Gurgaon/gurugram,"['Work Life Balance', ' Salary & Benefits']","['Job Security', ' Company Culture']"
6022,L&T Smart World & Communication,4.4,233,0,58,IT Services & Consulting,201.0,,Chennai,"['Job Security', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
6023,A&A Business Consulting,4.2,553,0,12,Management Consulting,201.0,15,Mumbai,"['Skill Development / Learning', ' Work Life Balance', ' Work Satisfaction']",['nan']
6024,Savita Oil Technologies,4.3,811,7,11,Chemicals / Agri Inputs,1.0,63,Mumbai,"['Job Security', ' Work Life Balance', ' Company Culture']",['nan']
6025,Kwality Pharmaceuticals,3.8,623,0,10,Pharma,501.0,41,Amritsar,['nan'],['nan']
6026,Steril Gene Life Sciences,4.0,712,0,14,Pharma,51.0,17,Chennai,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']","['Salary & Benefits', ' Promotions / Appraisal']"
