,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
3284,Seven Hills Hospital,3.9,830,15,25,Healthcare,501.0,38,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal']"
3285,Nobel Hygiene,3.6,905,12,26,Healthcare,51.0,24,Mumbai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Work Satisfaction']"
3286,Speridian Technologies,3.7,2200,36,23,IT Services & Consulting,1.0,22,Albuquerque,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
3287,Peter England,4.0,713,0,25,Fashion & Textile,501.0,135,Londonderry,"['Skill Development / Learning', ' Company Culture']",['Promotions / Appraisal']
3288,Sembcorp Energy India,4.1,1200,0,33,Power,501.0,16,Gurgaon/gurugram,"['Job Security', ' Work Life Balance', ' Salary & Benefits']",['nan']
3289,Knowledge Splice Services pvt ltd.,3.5,1200,0,17,BPO,201.0,13,Houston,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']"
3290,Orion Innovation,3.6,2600,16,13,IT Services & Consulting,1.0,31,New delhi,['Skill Development / Learning'],"['Promotions / Appraisal', ' Work Life Balance']"
3291,Signature Global,4.0,1400,5,17,Real Estate,51.0,16,New delhi,"['Salary & Benefits', ' Promotions / Appraisal', ' Job Security']",['nan']
3292,GSPANN Technologies,4.0,2700,79,34,IT Services & Consulting,1.0,20,Milpitas,"['Salary & Benefits', ' Work Life Balance', ' Company Culture']",['nan']
3293,Enser Communications,4.0,570,3,20,IT Services & Consulting,501.0,16,Navi Mumbai,"['Job Security', ' Company Culture', ' Work Satisfaction']",['nan']
3294,Seven Hills Hospital,3.9,830,15,25,Healthcare,501.0,38,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal']"
3295,Teachnook,3.4,273,2,13,EdTech,501.0,3,Bengaluru,['nan'],"['Salary & Benefits', ' Job Security', ' Work Satisfaction']"
3296,Koenig Solutions,4.0,847,24,25,Education & Training,501.0,31,New delhi,"['Skill Development / Learning', ' Work Satisfaction', ' Work Life Balance']",['nan']
3297,Arabian Construction Company,3.9,772,0,31,Engineering & Construction,10.0,57,Beirut,['Skill Development / Learning'],['Promotions / Appraisal']
3298,Common Service Centres,4.3,787,0,16,Government,201.0,15,New delhi,"['Skill Development / Learning', ' Work Satisfaction', ' Work Life Balance']",['nan']
3299,Planetcast,3.8,1500,8,22,Media & Entertainment,1.0,28,Noida,"['Job Security', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
3300,Kalkine,4.0,864,15,33,Financial Services,201.0,10,Sydney,"['Work Life Balance', ' Salary & Benefits', ' Company Culture']",['nan']
3301,Gujarat Alkalies & Chemicals,4.5,1100,0,51,Chemicals,1.0,51,Bharuch,"['Work Life Balance', ' Salary & Benefits', ' Work Satisfaction']",['nan']
3302,Vini Cosmetics,3.6,629,0,20,Beauty & Personal Care,201.0,15,Ahmedabad,['nan'],"['Job Security', ' Promotions / Appraisal', ' Company Culture']"
3303,Aris Global Software,3.3,2100,6,35,Software Product,1.0,37,Miami,['nan'],"['Promotions / Appraisal', ' Job Security', ' Work Satisfaction']"
3304,Sgs Tekniks Manufacturing,4.1,1100,3,30,Electronics Manufacturing,201.0,34,Gurgaon,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
3305,Toshiba Transmission & Distribution Systems,3.9,1500,22,44,Electrical Equipment,11.0,130,Hyderabad,['Job Security'],['Promotions / Appraisal']
3306,Allianz,4.4,2300,7,40,Insurance,5.0,134,Munich,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
3307,Efftronics Systems,3.5,772,4,30,Electronics Manufacturing,501.0,39,Vijayawada,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Work Life Balance']"
3308,The Phoenix Mills,3.7,1400,94,25,Real Estate,501.0,119,Mumbai,['nan'],"['Promotions / Appraisal', ' Company Culture']"
3309,Refinitiv,4.1,2500,0,49,Analytics & KPO,51.0,326,London,"['Job Security', ' Company Culture', ' Work Life Balance']",['nan']
3310,Samsung Display,3.7,1300,0,45,Electronics Manufacturing,501.0,5,Yongin-si,"['Job Security', ' Work Life Balance']",['Promotions / Appraisal']
3311,Moon Beverages,3.7,947,1,19,Beverage,51.0,37,New delhi,['nan'],"['Promotions / Appraisal', ' Salary & Benefits']"
3312,Zscaler Softech,3.7,1900,26,41,Software Product,1.0,16,San,['nan'],"['Work Satisfaction', ' Promotions / Appraisal', ' Work Life Balance']"
3313,Galax E Solutions,3.4,2000,17,23,IT Services & Consulting,1.0,21,Somerset,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Job Security']"
3314,Mahindra Trucks & Buses,3.7,745,0,4,Automobile,,,Pune,['nan'],"['Promotions / Appraisal', ' Work Satisfaction']"
3315,Mfar Constructions,3.8,878,1,32,Engineering & Construction,501.0,28,Bengaluru,['Skill Development / Learning'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Life Balance']"
3316,Mukand Limited,3.7,1100,10,33,Iron & Steel,1.0,87,Mumbai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
3317,VST Industries,3.9,849,0,31,FMCG,501.0,94,Hyderabad/secunderabad,['Job Security'],['Promotions / Appraisal']
3318,Global Edge Software,3.4,2200,1,32,Software Product,51.0,19,Bengaluru,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Work Satisfaction']"
3319,Silver Touch Technologies,3.6,2200,34,9,IT Services & Consulting,1.0,32,Ahmedabad,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
3320,Wallace Pharmaceuticals,3.8,776,0,32,Pharma,1.0,56,Panaji/panjim,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Skill Development / Learning']"
3321,Vem Technologies,3.8,1300,0,25,Defence & Aerospace,1.0,31,Hyderabad/secunderabad,"['Job Security', ' Skill Development / Learning']","['Salary & Benefits', ' Promotions / Appraisal', ' Company Culture']"
3322,,,0,0,0,,,,Nan,['nan'],['nan']
3323,Kirloskar Electric Company,3.6,1000,0,29,Electrical Equipment,1.0,78,Bengaluru,['nan'],"['Salary & Benefits', ' Promotions / Appraisal', ' Company Culture']"
3324,CEVA Logistics,3.8,1100,9,29,Logistics,5.0,18,Marseille,['nan'],['Promotions / Appraisal']
3325,Rolta India,2.8,1400,0,17,IT Services & Consulting,501.0,35,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal', ' Salary & Benefits']"
3326,Shree Renuka Sugars,4.2,1000,0,23,Food Processing,1.0,26,Belagavi/belgaum,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
3327,Vaibhav Global,3.2,1200,57,37,Jewellery,1.0,44,Jaipur,['nan'],"['Promotions / Appraisal', ' Job Security', ' Skill Development / Learning']"
3328,Multiplier Brand Solutions,3.6,721,2200,30,Pharma,51.0,8,Hyderabad/secunderabad,['nan'],"['Promotions / Appraisal', ' Job Security']"
3329,kipi.bi,4.6,550,2,10,IT Services & Consulting,201.0,,Noida,"['Skill Development / Learning', ' Company Culture', ' Job Security']",['nan']
3330,Zydus Hospital,4.3,894,5,35,Healthcare,501.0,9,Ahmedabad,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['nan']
3331,Anand Rathi Global Finance,3.5,1600,11,18,NBFC,201.0,42,Mumbai,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
3332,SVC Co-Operative Bank,3.9,1100,6,25,Banking,1.0,118,Mumbai,"['Job Security', ' Work Life Balance', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
3333,Koyo Bearings India,4.0,1000,0,34,Auto Components,1.0,17,Gurgaon,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['Promotions / Appraisal']
3334,Theobroma Foods,3.7,971,12,25,Food Processing,51.0,20,Mumbai,['nan'],"['Promotions / Appraisal', ' Skill Development / Learning', ' Job Security']"
3335,Elcamino Software,3.1,858,0,17,BPO,201.0,14,Gurugram,['nan'],"['Promotions / Appraisal', ' Company Culture', ' Skill Development / Learning']"
3336,Burns & McDonnell,4.5,1400,101,30,Engineering & Construction,1.0,126,Kansas,"['Company Culture', ' Job Security', ' Work Life Balance']",['nan']
3337,GE Aviation,4.2,1600,0,43,Aviation,1.0,107,Cincinnati,"['Company Culture', ' Work Life Balance', ' Skill Development / Learning']",['nan']
3338,TCI Supply Chain Solutions,4.2,754,0,29,Logistics,5.0,66,Gurgaon/gurugram,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
3339,Light & Wonder,3.8,2800,3,41,Gaming,1.0,51,Las,"['Work Life Balance', ' Salary & Benefits', ' Company Culture']",['Skill Development / Learning']
3340,AXIS MY INDIA,4.1,456,79,34,Analytics & KPO,51.0,26,Mumbai,"['Salary & Benefits', ' Job Security', ' Company Culture']",['nan']
3341,Themis Medicare,3.5,987,0,14,Pharma,201.0,55,Mumbai,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
3342,Dinshaws,3.7,945,0,21,Food Processing,501.0,92,Nagpur,"['Work Life Balance', ' Skill Development / Learning']","['Promotions / Appraisal', ' Job Security', ' Salary & Benefits']"
3343,NortonLifeLock's,4.2,2300,12,40,IT Services & Consulting,501.0,42,Mountain view,"['Work Life Balance', ' Salary & Benefits', ' Company Culture']",['nan']
3344,Prism Johnson Limited - RMC (India) Division,4.0,1000,0,31,Building Material,501.0,28,Mumbai,"['Skill Development / Learning', ' Work Satisfaction']",['Promotions / Appraisal']
